Unique Class Stereotype,Class Count
commander boundary small-class,5
commander small-class,2
data-provider boundary small-class,1
entity small-class,1
factory pure-controller degenerate,1
entity boundary,4
data-provider small-class,1
data-provider boundary,1
controller small-class,6
pure-controller degenerate small-class,10
boundary,6
pure-controller degenerate,23
boundary degenerate small-class,14
entity commander boundary,2
entity factory controller small-class,3
factory pure-controller degenerate small-class,2
degenerate small-class,14
empty,189
unclassified,5
boundary degenerate,9
commander boundary,2
factory controller data-class small-class,2
pure-controller small-class,1
factory degenerate small-class,2
controller degenerate,3
degenerate,5
small-class,1
entity boundary small-class,11
Total,326
