Unique Method Stereotype,Method Count
collaborator,1
void-accessor command collaborator,2
wrapper stateless,2
get controller,2
property set,2
set,16
constructor,111
destructor,12
property set collaborator,1
get set,2
wrapper,10
predicate collaborator,2
property,19
get,26
collaborator incidental,4
controller stateless,10
predicate wrapper,6
property controller,6
property non-void-command collaborator,50
set collaborator,41
predicate,14
command collaborator,67
command,25
unclassified,2
empty,1
property wrapper,4
controller,15
copy-constructor,4
predicate non-void-command collaborator,1
incidental,5
get collaborator,6
property non-void-command,8
property collaborator,3
get wrapper,1
Total,481
