Unique Method Stereotype,Method Count
factory collaborator incidental,3
get property set,13
factory wrapper,3
property set,5
get property set collaborator,6
collaborator,1
property factory collaborator,3
get predicate wrapper,28
property set factory collaborator,3
get set collaborator,14
property non-void-command,164
property non-void-command factory collaborator,34
predicate wrapper,25
get,273
collaborator incidental,124
get property non-void-command collaborator,17
predicate controller,4
non-void-command,14
set collaborator,155
property controller,25
property non-void-command collaborator,460
set,263
get property non-void-command,2
get property collaborator,2
constructor,730
empty,54
factory controller,10
unclassified,4
get property non-void-command factory collaborator,2
incidental,24
void-accessor collaborator,1
copy-constructor,143
factory collaborator,1
controller,25
predicate non-void-command collaborator,133
wrapper,34
get predicate non-void-command,30
get set,7
predicate collaborator,9
factory wrapper stateless,9
predicate,59
property,31
command collaborator,465
property wrapper,88
get non-void-command collaborator,46
non-void-command factory collaborator,59
controller stateless,169
predicate non-void-command,22
property factory,58
wrapper stateless,107
collaborator stateless,22
get property set factory collaborator,1
property collaborator,35
stateless,15
property set collaborator,16
factory controller stateless,27
get collaborator,171
get controller,8
void-accessor command collaborator,14
get set factory collaborator,3
void-accessor controller,3
property factory controller,9
command,193
property factory wrapper,6
predicate set collaborator,1
get property wrapper,1
non-void-command collaborator,252
get non-void-command,13
factory collaborator stateless,6
get non-void-command factory collaborator,8
get property factory wrapper,3
get property factory controller,2
get wrapper,17
Total,4787
