Unique Method Stereotype,Method Count
property set,1
get predicate non-void-command,1
property factory wrapper,3
predicate,1
void-accessor command,1
get property non-void-command,1
property non-void-command factory,1
predicate wrapper,3
non-void-command collaborator,1
get non-void-command,3
property,14
get non-void-command factory collaborator,1
get non-void-command collaborator,8
property wrapper,15
property factory controller,5
command,196
get property controller,1
constructor,185
set,310
get collaborator,102
factory collaborator stateless,64
get set,14
wrapper,16
get property non-void-command collaborator,1
get,337
collaborator incidental,23
get wrapper,2
get set factory collaborator,1
wrapper stateless,70
stateless,19
controller stateless,91
command collaborator,121
property collaborator,4
property non-void-command,74
property non-void-command factory collaborator,29
predicate non-void-command,11
predicate controller,9
non-void-command factory collaborator,15
property controller,11
set collaborator,83
property non-void-command collaborator,133
get set collaborator,14
factory controller stateless,19
property factory collaborator,5
factory wrapper stateless,5
copy-constructor,3
incidental,40
controller,17
predicate non-void-command collaborator,16
collaborator stateless,1
empty,30
factory controller,2
Total,2133
