Unique Class Stereotype,Class Count
entity boundary data-class small-class,1
boundary controller,1
boundary lazy-class degenerate,2
data-provider boundary degenerate,1
degenerate small-class,26
boundary lazy-class,1
entity,5
data-provider,18
boundary data-class small-class,3
lazy-class data-class small-class,3
entity boundary degenerate,4
factory degenerate small-class,16
commander small-class,88
boundary data-class,2
data-provider boundary lazy-class small-class,10
factory pure-controller degenerate small-class,61
entity commander boundary,103
entity boundary small-class,117
pure-controller degenerate small-class,77
data-provider lazy-class small-class,1
empty,1314
factory controller,5
entity small-class,8
unclassified,154
controller small-class,10
controller,18
data-provider boundary small-class,30
commander boundary small-class,129
boundary degenerate,28
factory controller lazy-class small-class,1
commander boundary,230
boundary,168
degenerate,50
pure-controller small-class,6
boundary degenerate small-class,214
commander degenerate,2
minimal-entity boundary,4
factory controller small-class,50
data-class small-class,6
factory pure-controller small-class,29
lazy-class small-class,7
entity factory controller,25
commander boundary data-class small-class,3
commander,208
entity boundary,231
data-class,4
boundary small-class,8
data-provider data-class,1
commander data-class small-class,2
data-provider boundary lazy-class degenerate,1
factory degenerate,1
entity minimal-entity commander boundary,1
small-class,103
entity factory controller small-class,16
data-provider small-class,19
data-provider boundary,9
entity minimal-entity boundary,5
controller degenerate,13
data-provider data-class small-class,37
data-provider boundary data-class small-class,9
lazy-class degenerate,1
pure-controller degenerate,13
entity data-provider boundary,13
commander boundary degenerate,7
boundary large-class,1
data-provider boundary data-class,2
data-provider boundary lazy-class,2
Total,3738
