Method Stereotype,Stereotype Count
get,311
predicate,277
property,427
void-accessor,239
set,199
command,923
non-void-command,343
collaborator,1463
controller,221
wrapper,280
constructor,323
copy-constructor,13
destructor,198
factory,60
incidental,131
stateless,338
empty,93
unclassified,14
Total,5853
