Unique Class Stereotype,Class Count
commander lazy-class small-class,1
factory controller small-class,2
controller,1
data-provider data-class small-class,3
boundary small-class,2
boundary data-class small-class,1
data-provider lazy-class small-class,1
entity data-provider boundary,5
data-provider boundary small-class,8
pure-controller small-class,2
degenerate,27
boundary,45
lazy-class,1
pure-controller degenerate,5
controller lazy-class degenerate,1
commander,8
empty,116
data-provider small-class,4
boundary degenerate small-class,14
pure-controller degenerate small-class,10
entity commander boundary,9
entity boundary degenerate,2
commander small-class,4
entity boundary,22
unclassified,22
controller small-class,2
data-provider boundary,8
data-provider boundary data-class small-class,5
degenerate small-class,3
boundary lazy-class,2
data-provider,8
commander boundary,19
boundary degenerate,7
entity boundary small-class,4
small-class,4
controller degenerate,1
boundary lazy-class degenerate,3
data-provider boundary lazy-class degenerate,3
lazy-class degenerate,4
commander boundary small-class,2
Total,391
