Unique Method Stereotype,Method Count
property factory wrapper,2
get property,1
property set,2
get property non-void-command,4
property factory controller,1
void-accessor set,14
predicate set collaborator,4
get set collaborator,372
non-void-command factory collaborator,60
predicate controller,10
predicate wrapper,5
non-void-command collaborator,184
unclassified,64
predicate collaborator,250
void-accessor controller,75
get wrapper,125
predicate,175
collaborator,64
property command collaborator,8
predicate non-void-command,25
controller stateless,175
predicate set,1
property non-void-command factory collaborator,4
property non-void-command,45
property collaborator,1426
get collaborator,680
command collaborator,1651
get non-void-command collaborator,192
property wrapper,651
get set,16
wrapper,925
destructor,225
property set collaborator,66
command,572
factory controller,4
empty,1935
constructor,9084
get property collaborator,4
set,583
property non-void-command collaborator,642
property controller,58
set collaborator,3371
get non-void-command,4
get property wrapper,1
void-accessor set collaborator,381
property,67
copy-constructor,14
incidental,584
predicate non-void-command collaborator,88
controller,142
void-accessor wrapper,162
wrapper stateless,187
void-accessor command,41
get property non-void-command collaborator,69
get,581
collaborator incidental,579
void-accessor collaborator,9
void-accessor command collaborator,695
void-accessor,2
Total,27361
