Unique Method Stereotype,Method Count
get property set factory collaborator,1
get set collaborator,4
property,1
predicate controller,1
get collaborator,6
controller stateless,47
set collaborator,11
void-accessor command,3
get non-void-command collaborator,1
command collaborator,21
non-void-command,4
command,29
property non-void-command factory collaborator,5
non-void-command collaborator,30
get property set collaborator,4
get set,1
get non-void-command,1
wrapper,15
controller,8
property non-void-command collaborator,57
void-accessor wrapper,2
copy-constructor,3
property non-void-command,4
predicate non-void-command collaborator,17
property wrapper,247
constructor,134
set,11
wrapper stateless,78
Total,746
