Unique Method Stereotype,Method Count
get property set collaborator,5
predicate controller,1
get property non-void-command,3
void-accessor controller,9
factory collaborator stateless,5
property command collaborator,1
collaborator stateless,4
void-accessor command,2
factory collaborator incidental,2
property set,2
get wrapper,7
factory controller,2
empty,24
predicate collaborator,9
void-accessor command collaborator,17
get set collaborator,15
non-void-command factory,1
unclassified,12
wrapper,39
get set,20
property,78
controller stateless,148
factory controller stateless,1
get controller,8
predicate wrapper,1
non-void-command collaborator,21
predicate non-void-command,18
command collaborator,141
property wrapper,42
get non-void-command collaborator,29
property set collaborator,11
destructor,50
get property wrapper,1
void-accessor set collaborator,1
get non-void-command,25
get property collaborator,3
set,60
get property controller,1
constructor,343
get collaborator,86
predicate,66
void-accessor wrapper,1
wrapper stateless,75
get property non-void-command collaborator,6
get,51
collaborator incidental,37
property non-void-command factory collaborator,4
property non-void-command,37
property collaborator,105
predicate set,3
copy-constructor,26
predicate non-void-command collaborator,12
incidental,56
controller,29
property controller,27
property non-void-command collaborator,131
set collaborator,47
collaborator,26
command,136
Total,2123
