Unique Method Stereotype,Method Count
get property wrapper,1
factory wrapper,1
collaborator stateless,1
property,1
get factory collaborator,1
get set collaborator,13
predicate,5
property factory wrapper,3
property factory controller,2
factory wrapper stateless,5
get set,3
wrapper,20
factory collaborator stateless,16
get collaborator,47
controller stateless,238
get controller,1
factory controller stateless,62
predicate controller,7
non-void-command factory collaborator,26
predicate non-void-command,24
command,200
wrapper stateless,193
set,47
constructor,349
empty,45
factory controller,11
command collaborator,506
property controller,41
property non-void-command collaborator,551
set collaborator,23
get non-void-command collaborator,5
property wrapper,61
copy-constructor,2
incidental,14
controller,36
predicate non-void-command collaborator,20
predicate wrapper,1
non-void-command collaborator,6
collaborator incidental,3
get property non-void-command collaborator,1
get,34
property non-void-command factory collaborator,68
property non-void-command,40
property set collaborator,1
stateless,6
property factory collaborator,4
Total,2745
