Method Stereotype,Stereotype Count
get,131
predicate,87
property,170
void-accessor,6
set,62
command,165
non-void-command,66
collaborator,358
controller,38
wrapper,93
constructor,196
copy-constructor,21
destructor,34
factory,2
incidental,44
stateless,50
empty,17
unclassified,16
Total,1556
