Unique Method Stereotype,Method Count
factory collaborator stateless,1
property command collaborator,2
void-accessor command collaborator,1
get property set collaborator,1
get controller,1
property factory controller,1
property factory wrapper,1
get non-void-command,3
property factory collaborator,5
get wrapper,17
predicate controller,19
unclassified,6
get set collaborator,26
get property,3
predicate non-void-command,16
predicate wrapper,6
non-void-command collaborator,16
command collaborator,297
controller stateless,426
get property controller,1
constructor,707
get property collaborator,8
set,124
property set,6
command,248
empty,83
property controller,132
set collaborator,95
property non-void-command collaborator,833
wrapper stateless,326
property set collaborator,79
predicate collaborator,76
destructor,61
wrapper,26
get set,5
get collaborator,312
get non-void-command collaborator,9
property wrapper,169
copy-constructor,14
controller,109
incidental,92
predicate non-void-command collaborator,29
collaborator,19
get property non-void-command collaborator,8
collaborator incidental,83
get,234
predicate,114
property,192
property non-void-command factory,1
predicate set collaborator,5
get factory collaborator,1
predicate set,2
property collaborator,242
property non-void-command factory collaborator,4
property non-void-command,46
Total,5343
