Unique Method Stereotype,Method Count
predicate collaborator,1
property non-void-command factory,1
property set factory,2
predicate non-void-command,1
collaborator stateless,3
void-accessor command collaborator,1
collaborator incidental,4
non-void-command,9
controller stateless,8
get property collaborator,2
set,17
constructor,62
property set,1
non-void-command factory collaborator,1
predicate wrapper,4
non-void-command collaborator,19
destructor,6
property set collaborator,3
wrapper,28
get set,1
property controller,3
property non-void-command collaborator,9
set collaborator,28
command collaborator,54
command,35
empty,4
predicate,2
wrapper stateless,19
factory controller stateless,1
property wrapper,2
controller,3
copy-constructor,4
predicate non-void-command collaborator,1
incidental,2
property non-void-command,5
property collaborator,1
property factory collaborator,4
Total,351
