Unique Method Stereotype,Method Count
property set collaborator,1
non-void-command collaborator,3
get non-void-command collaborator,1
command collaborator,54
get set collaborator,30
void-accessor command collaborator,7
property,6
controller stateless,10
command,98
empty,2
wrapper stateless,22
set,53
constructor,11
wrapper,8
predicate collaborator,1
predicate,4
set collaborator,12
property non-void-command collaborator,4
get property wrapper,1
predicate non-void-command,8
incidental,3
controller,3
predicate non-void-command collaborator,7
get wrapper,1
get property non-void-command collaborator,1
property collaborator,5
property non-void-command factory collaborator,15
property non-void-command,1
predicate set,1
property set factory collaborator,1
Total,374
