Unique Method Stereotype,Method Count
property factory collaborator,3
get property non-void-command collaborator,6
collaborator incidental,58
get,3
empty,32
get non-void-command factory collaborator,2
property set collaborator,3
property wrapper,352
get non-void-command collaborator,7
property non-void-command factory collaborator,22
property non-void-command,7
stateless,3
property collaborator,11
factory collaborator incidental,4
controller,14
copy-constructor,30
incidental,18
wrapper,82
predicate non-void-command collaborator,13
set,23
constructor,298
factory controller,3
get property controller,1
predicate wrapper,3
set collaborator,38
property non-void-command collaborator,90
property controller,3
predicate controller,1
non-void-command factory collaborator,8
controller stateless,74
wrapper stateless,175
property,3
command collaborator,175
collaborator stateless,14
void-accessor command collaborator,42
void-accessor wrapper,2
predicate non-void-command,5
get collaborator,4
get set collaborator,2
factory wrapper,1
predicate collaborator,1
command,76
property factory wrapper,6
unclassified,1
get wrapper,2
get property wrapper,1
void-accessor set collaborator,4
non-void-command collaborator,116
get non-void-command,1
factory controller stateless,3
void-accessor command,1
set factory collaborator,2
collaborator,4
factory wrapper stateless,6
get predicate,1
property factory controller,2
get set factory collaborator,3
void-accessor controller,1
property set factory collaborator,1
factory collaborator stateless,3
Total,1870
