Method Stereotype,Stereotype Count
get,707
predicate,552
property,882
void-accessor,758
set,474
command,1954
non-void-command,493
collaborator,3318
controller,683
wrapper,454
constructor,674
copy-constructor,22
destructor,263
factory,76
incidental,255
stateless,831
empty,139
unclassified,6
Total,12541
