Unique Method Stereotype,Method Count
property set factory collaborator,1
property set collaborator,1
get property set factory collaborator,1
factory collaborator incidental,1
collaborator incidental,150
get,149
get property non-void-command collaborator,4
get property controller,3
constructor,674
get property non-void-command factory,1
predicate controller,33
predicate non-void-command,31
property factory,16
get predicate controller,1
predicate wrapper,36
property non-void-command collaborator,179
property controller,62
set collaborator,284
controller,86
incidental,104
predicate,161
get predicate,3
property non-void-command factory collaborator,7
property collaborator,458
property non-void-command,27
predicate set,5
wrapper stateless,331
get collaborator,435
set,148
get property collaborator,11
empty,139
command,561
get non-void-command collaborator,21
property wrapper,35
non-void-command factory collaborator,8
controller stateless,489
predicate non-void-command collaborator,203
wrapper,43
get set,8
destructor,263
get set collaborator,9
copy-constructor,22
void-accessor collaborator,23
void-accessor command collaborator,14
predicate collaborator,78
void-accessor,1
command collaborator,1369
property,60
factory collaborator stateless,8
predicate set collaborator,13
property factory collaborator,20
get wrapper,2
get non-void-command,8
get property wrapper,7
collaborator,14
set factory collaborator,1
get property,1
unclassified,8
get non-void-command factory collaborator,4
property set,2
void-accessor command,10
factory controller stateless,3
get set factory collaborator,1
property factory controller,4
void-accessor controller,2
Total,6857
