Unique Class Stereotype,Class Count
lazy-class small-class,1
commander boundary data-class,1
entity minimal-entity boundary,3
data-provider boundary lazy-class small-class,1
data-provider small-class,5
lazy-class,3
commander degenerate,1
data-class,1
data-provider boundary data-class small-class,4
boundary data-class small-class,5
data-provider lazy-class degenerate,1
commander boundary degenerate,1
degenerate small-class,7
lazy-class degenerate,5
boundary degenerate,7
data-provider,15
data-provider boundary,26
data-provider data-class,1
commander data-class small-class,1
boundary small-class,2
boundary degenerate small-class,17
commander lazy-class degenerate,1
controller small-class,13
unclassified,57
entity data-class small-class,1
factory degenerate small-class,3
data-provider boundary small-class,36
empty,186
commander,11
minimal-entity commander boundary,1
entity data-provider boundary,9
boundary data-class,7
minimal-entity boundary,9
small-class,43
entity boundary small-class,20
commander boundary,65
controller degenerate,4
boundary lazy-class degenerate,4
data-provider boundary lazy-class degenerate,1
entity commander boundary,23
pure-controller degenerate small-class,20
commander boundary small-class,37
commander small-class,6
commander boundary data-class small-class,13
entity boundary degenerate,5
data-class small-class,1
entity boundary,48
boundary,70
pure-controller small-class,3
degenerate,21
Total,826
