Method Stereotype,Stereotype Count
get,777
predicate,494
property,645
void-accessor,330
set,247
command,679
non-void-command,284
collaborator,1397
controller,282
wrapper,189
constructor,311
copy-constructor,25
destructor,45
factory,1
incidental,158
stateless,254
empty,27
unclassified,30
Total,6175
