Unique Class Stereotype,Class Count
lazy-class,2
boundary lazy-class degenerate,1
data-provider boundary lazy-class degenerate,1
factory degenerate small-class,1
data-provider boundary data-class small-class,3
data-provider boundary data-class,1
lazy-class small-class,1
controller lazy-class degenerate,1
commander boundary degenerate,1
entity data-provider boundary,9
boundary lazy-class,2
degenerate small-class,4
unclassified,36
small-class,16
entity boundary small-class,11
boundary degenerate small-class,15
pure-controller degenerate,3
commander data-class small-class,1
boundary small-class,4
data-provider boundary,5
boundary degenerate,10
controller,6
commander boundary,22
factory pure-controller small-class,1
pure-controller degenerate small-class,13
entity commander boundary,3
entity boundary data-class small-class,4
pure-controller small-class,3
boundary,33
degenerate,36
entity boundary,21
data-class small-class,1
empty,289
commander,12
data-provider boundary small-class,5
boundary data-class,1
data-provider small-class,9
data-provider data-class small-class,5
data-provider,10
commander boundary small-class,9
data-class,1
lazy-class degenerate,1
commander boundary data-class small-class,1
commander small-class,16
entity boundary degenerate,4
Total,634
