Unique Method Stereotype,Method Count
factory wrapper,1
destructor,1
property factory collaborator,5
property factory wrapper,8
property factory controller,1
non-void-command,1
property set factory collaborator,1
predicate controller,2
non-void-command factory collaborator,10
predicate collaborator,2
factory wrapper stateless,1
get controller,3
factory controller stateless,8
property,2
property non-void-command factory collaborator,11
property non-void-command,4
property collaborator,3
get property non-void-command factory collaborator,1
unclassified,2
stateless,4
property set collaborator,22
factory collaborator stateless,2
wrapper,18
get set,67
get property wrapper,1
get non-void-command,13
predicate wrapper,1
non-void-command collaborator,205
command,54
constructor,726
get property collaborator,6
set,64
controller stateless,49
command collaborator,119
property wrapper,53
get non-void-command collaborator,59
collaborator stateless,116
void-accessor wrapper,1
wrapper stateless,199
get collaborator,16
property controller,42
set collaborator,67
property non-void-command collaborator,277
predicate non-void-command,4
incidental,1
controller,5
predicate non-void-command collaborator,13
copy-constructor,43
get wrapper,11
void-accessor command collaborator,4
void-accessor collaborator,2
get property non-void-command collaborator,2
get,37
collaborator incidental,52
empty,23
factory controller,12
get set collaborator,54
Total,2511
