Method Stereotype,Stereotype Count
get,94
predicate,40
property,216
void-accessor,4
set,87
command,238
non-void-command,179
collaborator,418
controller,375
wrapper,389
constructor,561
copy-constructor,13
destructor,0
factory,112
incidental,39
stateless,507
empty,134
unclassified,5
Total,3411
