Unique Class Stereotype,Class Count
entity boundary lazy-class degenerate,1
boundary lazy-class degenerate,1
commander boundary lazy-class small-class,2
entity commander boundary,34
entity boundary data-class small-class,1
commander boundary lazy-class,1
factory pure-controller small-class,1
lazy-class small-class,1
degenerate,11
boundary,72
pure-controller small-class,6
factory pure-controller degenerate small-class,1
entity degenerate,1
factory controller degenerate,1
commander lazy-class small-class,2
data-provider boundary lazy-class small-class,1
controller degenerate,5
small-class,26
commander boundary small-class,35
controller,4
data-provider boundary small-class,15
entity small-class,2
empty,448
entity lazy-class degenerate,1
factory controller,2
commander boundary,126
entity minimal-entity boundary,1
data-provider boundary,3
boundary small-class,16
commander data-class small-class,25
degenerate small-class,19
boundary lazy-class,4
unclassified,65
controller small-class,2
entity boundary lazy-class,1
boundary degenerate small-class,28
boundary degenerate,16
lazy-class,7
entity boundary,52
commander,137
commander boundary data-class small-class,21
data-class,3
entity factory controller small-class,1
entity,1
commander data-class,1
factory controller small-class,4
data-class small-class,3
commander degenerate,4
minimal-entity boundary,2
boundary data-class small-class,4
commander boundary lazy-class degenerate,3
commander small-class,80
boundary data-class,1
commander lazy-class,8
data-provider,4
pure-controller degenerate small-class,13
entity boundary small-class,21
minimal-entity commander boundary,2
commander boundary degenerate,2
lazy-class degenerate,2
data-provider boundary data-class small-class,2
commander boundary data-class,1
entity data-provider boundary,1
pure-controller degenerate,1
Total,1362
