Unique Method Stereotype,Method Count
set factory collaborator,2
get property non-void-command factory collaborator,1
predicate set,10
property factory,1
property set factory collaborator,1
destructor,3
get property set factory collaborator,1
get property controller,2
factory controller,2
property set collaborator,7
get non-void-command collaborator,5
get property factory collaborator,1
predicate set collaborator,8
get wrapper,8
get property non-void-command collaborator,8
property non-void-command factory collaborator,38
property non-void-command,119
predicate,37
factory wrapper stateless,2
get predicate,1
controller,29
void-accessor collaborator,1
copy-constructor,45
incidental,107
collaborator incidental,26
get,143
factory wrapper,2
void-accessor set,9
property,40
command collaborator,143
void-accessor command collaborator,19
void-accessor,3
unclassified,6
non-void-command,10
set collaborator,50
get non-void-command factory,1
property non-void-command collaborator,122
property controller,10
predicate non-void-command collaborator,79
wrapper,118
property wrapper,270
wrapper stateless,174
property set,5
command,185
property factory wrapper,13
get property factory wrapper,3
set,91
constructor,611
predicate wrapper,15
property factory collaborator,36
controller stateless,42
non-void-command factory collaborator,7
get property non-void-command,9
get property factory,1
non-void-command factory,1
get set,14
get predicate non-void-command,1
get property set,2
non-void-command collaborator,30
get non-void-command,32
get property wrapper,4
empty,10
get collaborator,43
void-accessor wrapper,17
predicate non-void-command,51
property collaborator,10
stateless,16
void-accessor controller,2
property factory controller,6
predicate controller,6
get property non-void-command factory,11
collaborator stateless,13
property non-void-command factory,7
factory controller stateless,4
void-accessor command,72
factory collaborator stateless,2
get set collaborator,5
Total,3041
