Unique Class Stereotype,Class Count
controller,1
commander lazy-class degenerate,1
data-provider boundary lazy-class,1
entity data-provider boundary small-class,1
entity minimal-entity boundary,1
data-provider boundary data-class,1
data-provider lazy-class,2
lazy-class degenerate,1
data-class,2
data-provider lazy-class small-class,2
data-provider boundary degenerate,1
boundary data-class,2
boundary lazy-class degenerate,1
controller degenerate,2
pure-controller degenerate,4
data-provider degenerate,1
entity minimal-entity data-provider boundary,1
data-provider boundary data-class small-class,9
lazy-class,2
commander boundary,5
data-provider small-class,13
small-class,28
entity boundary small-class,9
data-provider,75
data-provider data-class small-class,9
entity boundary,37
data-class small-class,7
data-provider boundary,106
boundary lazy-class,4
degenerate small-class,30
commander,7
empty,458
boundary large-class degenerate,1
controller small-class,4
unclassified,74
degenerate,19
boundary,56
data-provider boundary small-class,21
entity data-provider boundary,20
commander boundary small-class,6
pure-controller,1
commander data-class small-class,2
boundary small-class,18
data-provider data-class,13
boundary degenerate small-class,27
pure-controller degenerate small-class,27
entity commander boundary,6
data-provider boundary lazy-class degenerate,1
minimal-entity data-provider boundary,1
entity boundary degenerate,1
commander boundary degenerate,1
lazy-class data-class small-class,1
boundary data-class small-class,2
data-provider lazy-class degenerate,2
boundary degenerate,3
Total,1131
