Unique Method Stereotype,Method Count
get predicate wrapper,1
get property non-void-command factory collaborator,1
get predicate,4
void-accessor set,1
factory collaborator stateless,1
collaborator stateless,1
factory wrapper,1
property factory collaborator,4
get predicate non-void-command collaborator,5
get command collaborator,5
get property set collaborator,2
predicate set collaborator,18
get command,2
wrapper stateless,924
collaborator incidental,554
get,687
get property non-void-command collaborator,64
get set collaborator,42
stateless,1
property collaborator,1713
property non-void-command factory collaborator,71
predicate set,9
property non-void-command,57
property controller,202
property non-void-command collaborator,4143
non-void-command,95
set collaborator,493
controller,431
incidental,525
set,638
predicate,1030
get non-void-command collaborator,171
property wrapper,272
empty,600
unclassified,577
constructor,1916
get property controller,6
property set collaborator,44
get predicate non-void-command,4
non-void-command factory,1
get set,54
predicate non-void-command collaborator,2217
wrapper,209
destructor,593
non-void-command collaborator,171
get non-void-command,62
get property wrapper,3
get wrapper,98
get collaborator,1305
get controller,78
predicate controller,153
void-accessor command collaborator,726
copy-constructor,143
void-accessor collaborator,62
predicate collaborator,1385
void-accessor,14
set factory collaborator,2
collaborator,626
command collaborator,6472
property,200
non-void-command factory collaborator,30
controller stateless,1193
property command collaborator,12
property set,8
predicate wrapper,151
get predicate controller,2
void-accessor wrapper,6
predicate non-void-command,342
factory controller stateless,4
void-accessor command,90
get set factory collaborator,1
property factory controller,5
void-accessor controller,28
get property collaborator,21
void-accessor set collaborator,5
get property non-void-command,2
command,2215
property factory wrapper,5
get property,4
Total,34013
