Unique Method Stereotype,Method Count
get predicate set,1
get property wrapper,2
get property,2
factory collaborator incidental,1
get property set collaborator,1
property factory,3
get property command collaborator,2
get void-accessor collaborator,1
factory controller,2
void-accessor set,6
get,105
collaborator incidental,138
get property non-void-command collaborator,6
non-void-command,1
set collaborator,64
get void-accessor command collaborator,1
property controller,66
property non-void-command collaborator,402
get non-void-command,43
non-void-command collaborator,369
predicate wrapper,34
wrapper stateless,534
factory controller stateless,9
void-accessor command,144
set,110
constructor,721
incidental,122
controller,320
property wrapper,201
get non-void-command collaborator,29
command collaborator,252
property,205
empty,86
unclassified,46
void-accessor command collaborator,387
copy-constructor,82
void-accessor collaborator,276
stateless,1
property collaborator,453
property non-void-command,153
predicate set,14
property non-void-command factory collaborator,12
get controller,5
get collaborator,117
void-accessor wrapper,19
predicate non-void-command,137
property set collaborator,24
destructor,249
void-accessor,39
predicate collaborator,89
factory wrapper stateless,3
get predicate non-void-command collaborator,3
predicate controller,24
controller stateless,978
non-void-command factory collaborator,2
property factory collaborator,6
command,201
predicate,131
collaborator,190
predicate non-void-command collaborator,217
wrapper,115
get set,5
property non-void-command factory,2
property command collaborator,27
property command factory collaborator,1
get set collaborator,21
void-accessor controller,29
property factory controller,4
property set,11
property set factory collaborator,3
get property collaborator,1
void-accessor set collaborator,9
get property non-void-command,6
get wrapper,9
Total,8084
