Unique Class Stereotype,Class Count
boundary data-class,1
entity factory controller small-class,1
lazy-class,1
data-provider lazy-class,1
pure-controller degenerate,3
commander boundary degenerate,1
small-class,14
data-provider small-class,4
boundary lazy-class degenerate,3
controller degenerate,6
data-provider boundary degenerate,1
boundary lazy-class,1
degenerate small-class,7
entity boundary degenerate,2
commander small-class,4
commander boundary,29
controller,2
boundary degenerate,12
boundary,62
degenerate,32
data-provider,7
data-provider data-class small-class,2
boundary small-class,1
data-provider boundary,14
unclassified,32
controller small-class,18
data-provider boundary data-class small-class,2
boundary degenerate small-class,9
empty,52
commander,19
data-provider boundary small-class,9
entity commander boundary,8
pure-controller degenerate small-class,12
data-class small-class,1
entity boundary,50
entity data-provider boundary,6
entity minimal-entity boundary,6
entity boundary small-class,17
commander boundary small-class,4
boundary data-class small-class,2
lazy-class degenerate,5
Total,463
