Unique Class Stereotype,Class Count
data-provider lazy-class,1
entity lazy-class,1
large-class degenerate,1
data-provider boundary degenerate,1
entity boundary lazy-class degenerate,1
boundary lazy-class degenerate,1
data-provider lazy-class degenerate,4
entity boundary data-class small-class,2
factory small-class,3
boundary lazy-class,8
entity data-provider small-class,2
commander data-class small-class,3
boundary data-class small-class,8
controller data-class small-class,5
entity factory controller degenerate,3
entity data-provider boundary data-class small-class,1
lazy-class degenerate,40
degenerate small-class,118
degenerate,107
boundary,192
pure-controller small-class,121
controller small-class,58
unclassified,374
entity minimal-entity boundary,1
data-provider boundary,27
entity small-class,23
factory controller,14
entity commander boundary,46
controller lazy-class,1
boundary degenerate small-class,94
entity factory controller,14
commander boundary lazy-class,1
factory pure-controller small-class,5
lazy-class small-class,3
entity data-provider boundary,5
pure-controller degenerate,64
factory pure-controller degenerate small-class,19
commander boundary,186
boundary degenerate,56
small-class,259
commander lazy-class,1
boundary data-class,5
commander small-class,113
entity boundary degenerate,12
controller degenerate,30
factory degenerate small-class,47
commander boundary small-class,173
lazy-class,6
data-provider,189
data-provider data-class,23
data-provider boundary lazy-class degenerate,1
factory degenerate,15
boundary small-class,6
data-provider boundary data-class small-class,22
data-provider data-class small-class,39
entity boundary,237
commander,151
data-class,14
pure-controller degenerate small-class,282
entity boundary small-class,142
commander boundary degenerate,12
data-provider small-class,21
entity boundary data-class,1
data-class small-class,6
commander degenerate,5
minimal-entity boundary,1
factory controller small-class,63
data-provider boundary lazy-class small-class,2
data-provider degenerate,1
data-provider boundary data-class,5
entity degenerate,1
entity data-provider boundary small-class,1
entity factory controller small-class,45
boundary controller,2
factory controller degenerate,4
empty,1252
data-provider lazy-class small-class,4
entity,15
controller,48
pure-controller,36
data-provider boundary small-class,21
Total,4927
