Unique Class Stereotype,Class Count
boundary degenerate small-class,1
factory degenerate small-class,1
degenerate small-class,3
data-provider boundary small-class,3
factory pure-controller degenerate,1
lazy-class degenerate,1
controller degenerate,1
data-provider lazy-class degenerate,2
boundary data-class small-class,1
data-provider lazy-class,4
commander boundary large-class,1
entity minimal-entity boundary,5
entity boundary small-class,9
small-class,19
factory degenerate,1
boundary small-class,1
commander data-class small-class,1
pure-controller degenerate,5
commander boundary degenerate,1
pure-controller degenerate small-class,1
entity commander boundary,41
commander lazy-class degenerate,1
data-provider boundary data-class,1
controller lazy-class,1
commander boundary,127
boundary degenerate,5
controller,1
controller small-class,1
unclassified,109
commander boundary small-class,32
lazy-class,1
commander degenerate,3
empty,571
commander,97
commander small-class,11
data-class small-class,5
entity boundary,40
commander lazy-class,1
data-provider data-class small-class,2
data-provider,16
data-provider boundary,21
entity data-provider boundary,9
boundary,86
degenerate,30
boundary data-class,2
data-provider small-class,1
entity data-provider boundary degenerate,1
data-provider boundary lazy-class degenerate,1
Total,1279
