Unique Method Stereotype,Method Count
factory stateless,9
factory wrapper stateless,1
get property non-void-command factory collaborator,6
property factory collaborator,2
get predicate wrapper,2
get non-void-command factory collaborator,4
get property wrapper,12
factory collaborator incidental,1
get command collaborator,7
factory,4
factory wrapper,2
get property set,2
get wrapper,15
get property set collaborator,4
get set collaborator,31
factory controller,1
get property controller,29
predicate,180
collaborator incidental,352
get property non-void-command collaborator,32
get,476
incidental,302
factory collaborator,4
controller,426
property wrapper,175
get non-void-command collaborator,145
property non-void-command collaborator,706
get void-accessor command collaborator,3
property controller,122
set,777
constructor,617
factory collaborator stateless,5
get factory collaborator,1
get set,18
predicate non-void-command collaborator,461
wrapper,132
get property non-void-command,18
get property collaborator,93
void-accessor set collaborator,119
destructor,455
property,322
command collaborator,1823
void-accessor command collaborator,1390
copy-constructor,10
void-accessor collaborator,264
predicate collaborator,125
void-accessor,59
stateless,2
property collaborator,835
property non-void-command,264
predicate set,19
property non-void-command factory collaborator,24
command,2708
unclassified,61
get non-void-command,28
non-void-command collaborator,482
get predicate controller,5
predicate wrapper,36
empty,560
predicate non-void-command,275
void-accessor wrapper,31
wrapper stateless,552
property set,15
controller stateless,833
non-void-command factory collaborator,18
predicate controller,71
property set collaborator,34
get property,26
set collaborator,499
non-void-command,1
void-accessor set,38
void-accessor command,485
factory controller stateless,15
get collaborator,581
get controller,6
set factory collaborator,1
collaborator,125
factory incidental,7
property command collaborator,8
property factory controller,4
get set factory collaborator,2
void-accessor controller,97
predicate set collaborator,24
get predicate non-void-command collaborator,2
Total,18518
