Class Stereotype,Stereotype Count
entity,53
minimal-entity,3
data-provider,31
commander,489
boundary,305
factory,9
controller,8
pure-controller,33
large-class,0
lazy-class,8
degenerate,116
data-class,23
small-class,163
empty,141
unclassified,132
Total,1514
