Unique Method Stereotype,Method Count
get non-void-command factory collaborator,1
get wrapper,3
property non-void-command,118
property non-void-command factory collaborator,34
predicate set,3
void-accessor command collaborator,40
get,70
collaborator incidental,34
get property non-void-command collaborator,1
property wrapper,56
get non-void-command collaborator,18
controller,170
incidental,79
copy-constructor,3
set,77
property set,3
factory collaborator incidental,8
constructor,287
empty,31
factory controller,7
unclassified,3
property factory controller,3
predicate non-void-command,57
property non-void-command collaborator,321
set collaborator,25
property controller,26
property,23
command collaborator,737
void-accessor set collaborator,10
get non-void-command,4
get property wrapper,1
predicate collaborator,9
factory wrapper stateless,17
factory collaborator stateless,46
get collaborator,113
wrapper stateless,243
get command,1
predicate non-void-command collaborator,65
wrapper,41
controller stateless,1580
non-void-command factory collaborator,16
predicate controller,7
property factory collaborator,3
get set collaborator,33
predicate,37
factory controller stateless,17
void-accessor command,1
property set collaborator,13
property collaborator,9
stateless,33
collaborator stateless,58
collaborator,3
set factory collaborator,2
predicate wrapper,11
get property set,1
command,523
property factory wrapper,7
get property factory controller,1
get property factory wrapper,1
get set,5
get factory collaborator,1
Total,5150
