Unique Class Stereotype,Class Count
data-provider data-class,2
boundary small-class,1
data-provider boundary data-class small-class,1
entity boundary,2
data-provider data-class small-class,2
factory controller small-class,2
commander boundary small-class,2
commander,4
data-provider boundary small-class,1
lazy-class,1
boundary,4
commander small-class,1
commander boundary,4
entity commander boundary,3
boundary degenerate small-class,2
small-class,1
empty,28
unclassified,2
pure-controller degenerate small-class,5
degenerate,1
Total,69
