Method Stereotype,Stereotype Count
get,805
predicate,448
property,1106
void-accessor,598
set,514
command,1685
non-void-command,585
collaborator,3014
controller,598
wrapper,443
constructor,823
copy-constructor,51
destructor,262
factory,324
incidental,387
stateless,645
empty,143
unclassified,23
Total,12454
