Method Stereotype,Stereotype Count
get,1463
predicate,630
property,1749
void-accessor,10
set,1638
command,1056
non-void-command,1438
collaborator,3435
controller,466
wrapper,1213
constructor,763
copy-constructor,359
destructor,2
factory,486
incidental,396
stateless,704
empty,92
unclassified,3
Total,15903
