Unique Method Stereotype,Method Count
factory collaborator stateless,1
get non-void-command factory collaborator,1
incidental,70
predicate,132
void-accessor controller,15
predicate set collaborator,12
get wrapper,35
property non-void-command,63
predicate set,20
property collaborator,191
property non-void-command factory collaborator,6
unclassified,7
controller,49
factory collaborator,2
command,369
property wrapper,73
get non-void-command collaborator,13
wrapper stateless,123
set,86
constructor,570
get property controller,3
get,127
get property non-void-command collaborator,4
collaborator incidental,58
get controller,3
get collaborator,88
property controller,31
property non-void-command collaborator,229
predicate wrapper,21
void-accessor wrapper,31
predicate non-void-command,95
void-accessor command collaborator,183
copy-constructor,14
void-accessor collaborator,20
property set collaborator,13
void-accessor,11
predicate collaborator,100
destructor,179
predicate non-void-command collaborator,151
wrapper,62
get predicate non-void-command,1
get set,43
predicate controller,23
controller stateless,164
non-void-command factory collaborator,3
collaborator,16
void-accessor command,49
factory controller stateless,3
command collaborator,278
property,110
empty,25
get set collaborator,5
get non-void-command,26
get property wrapper,5
get property collaborator,8
void-accessor set collaborator,12
property command collaborator,3
property set,3
property factory collaborator,6
void-accessor set,3
set collaborator,52
non-void-command,1
get property,2
Total,4102
