Method Stereotype,Stereotype Count
get,143
predicate,65
property,598
void-accessor,1
set,83
command,201
non-void-command,613
collaborator,880
controller,210
wrapper,196
constructor,142
copy-constructor,2
destructor,0
factory,150
incidental,63
stateless,358
empty,10
unclassified,2
Total,3717
