Unique Class Stereotype,Class Count
data-provider lazy-class,1
commander small-class,4
controller data-class,1
lazy-class,1
entity boundary data-class,2
data-provider lazy-class degenerate,1
boundary data-class small-class,2
small-class,2
boundary degenerate,12
data-provider boundary lazy-class degenerate,2
data-provider boundary degenerate,2
data-provider data-class small-class,1
data-provider boundary data-class,6
data-provider boundary,98
data-provider boundary data-class small-class,7
entity boundary,27
lazy-class small-class,1
boundary small-class,8
commander data-class small-class,2
controller small-class,3
unclassified,8
commander,1
empty,1589
pure-controller degenerate,2
pure-controller degenerate small-class,38
entity commander boundary,5
boundary degenerate small-class,137
data-provider,8
commander lazy-class small-class,1
commander boundary,4
entity data-provider boundary,41
data-provider boundary small-class,26
entity minimal-entity boundary,1
controller degenerate,1
boundary lazy-class degenerate,2
entity boundary small-class,6
boundary,18
pure-controller small-class,1
degenerate,10
commander boundary small-class,14
degenerate small-class,19
boundary lazy-class,2
boundary data-class,1
Total,2118
