Unique Method Stereotype,Method Count
unclassified,1
get non-void-command,1
void-accessor command collaborator,1
property set collaborator,3
collaborator,4
set factory collaborator,1
wrapper,3
void-accessor command,1
property set,1
predicate wrapper,1
predicate non-void-command,44
predicate controller,2
non-void-command factory collaborator,2
get non-void-command collaborator,8
property wrapper,3
destructor,23
predicate collaborator,4
factory collaborator stateless,1
get property collaborator,1
set,22
constructor,59
command,35
empty,2
predicate,19
command collaborator,47
get collaborator,17
property non-void-command collaborator,28
set collaborator,11
property controller,8
controller stateless,14
wrapper stateless,18
incidental,11
predicate non-void-command collaborator,48
copy-constructor,6
controller,3
property non-void-command factory collaborator,2
property collaborator,10
property non-void-command,9
predicate set,5
get property non-void-command collaborator,2
get,23
collaborator incidental,12
property,10
Total,526
