Method Stereotype,Stereotype Count
get,1808
predicate,1569
property,4787
void-accessor,3
set,1001
command,9629
non-void-command,5892
collaborator,11883
controller,4143
wrapper,1578
constructor,2235
copy-constructor,49
destructor,0
factory,1499
incidental,499
stateless,4422
empty,164
unclassified,9
Total,51170
