Unique Method Stereotype,Method Count
collaborator stateless,1
get predicate set collaborator,1
get non-void-command factory collaborator,1
get predicate non-void-command collaborator,2
get property non-void-command factory collaborator,2
get property non-void-command collaborator,6
get predicate wrapper,1
get property controller,2
get property,4
get property wrapper,6
property non-void-command factory collaborator,17
property collaborator,989
property non-void-command,131
predicate set,31
predicate wrapper,109
incidental,322
get,363
collaborator incidental,3050
get non-void-command collaborator,165
property wrapper,534
property,286
command collaborator,1290
wrapper stateless,877
empty,305
predicate,327
property factory collaborator,3
constructor,3543
set,367
property command collaborator,37
non-void-command,2
set collaborator,320
property non-void-command collaborator,777
property controller,171
void-accessor wrapper,9
predicate non-void-command,154
get predicate,1
factory wrapper stateless,7
destructor,615
property set collaborator,94
predicate non-void-command collaborator,348
wrapper,373
get predicate non-void-command,1
get factory collaborator,2
get set,94
unclassified,96
controller,143
factory collaborator,1
void-accessor command collaborator,38
predicate collaborator,84
void-accessor,4
copy-constructor,376
void-accessor collaborator,7
predicate controller,46
controller stateless,1265
non-void-command factory collaborator,4
set factory collaborator,1
collaborator,103
property set,23
predicate set collaborator,59
get set collaborator,131
non-void-command collaborator,114
get non-void-command,85
get property non-void-command,3
get property collaborator,17
void-accessor set collaborator,9
get set factory collaborator,4
void-accessor controller,3
factory collaborator stateless,2
command,935
property factory wrapper,2
get wrapper,161
void-accessor command,7
factory controller stateless,6
get collaborator,868
get controller,51
void-accessor set,4
Total,20392
