Class Stereotype,Stereotype Count
entity,51
minimal-entity,3
data-provider,38
commander,238
boundary,239
factory,10
controller,17
pure-controller,43
large-class,0
lazy-class,9
degenerate,159
data-class,25
small-class,180
empty,160
unclassified,103
Total,1275
