Unique Method Stereotype,Method Count
get,1
property,2
controller,4
command,6
predicate non-void-command collaborator,1
property wrapper,3
predicate controller,2
property factory collaborator,7
get property wrapper,1
predicate non-void-command,1
property non-void-command collaborator,4
predicate wrapper,2
non-void-command factory collaborator,1
factory controller stateless,1
get set collaborator,1
property set,1
constructor,98
set,6
wrapper stateless,8
set collaborator,1
property non-void-command,7
collaborator incidental,7
incidental,5
property controller,3
controller stateless,18
non-void-command collaborator,15
predicate collaborator,1
factory collaborator stateless,2
command collaborator,12
Total,221
