Unique Method Stereotype,Method Count
get property wrapper,1
get collaborator,2
property set collaborator,5
factory wrapper,1
void-accessor collaborator,4
get property non-void-command factory collaborator,3
factory controller stateless,2
controller stateless,609
wrapper,30
incidental,1
predicate non-void-command collaborator,18
copy-constructor,10
controller,26
command collaborator,32
void-accessor wrapper,1
wrapper stateless,353
collaborator stateless,4
property controller,61
property non-void-command collaborator,49
non-void-command collaborator,11
predicate wrapper,7
predicate non-void-command,4
property collaborator,17
property non-void-command factory collaborator,7
property factory controller,6
constructor,279
set,7
factory controller,3
factory wrapper stateless,4
get wrapper,1
property factory wrapper,30
get property factory wrapper,2
get non-void-command collaborator,8
property wrapper,40
command,10
get property factory controller,1
collaborator incidental,10
get property non-void-command collaborator,8
predicate controller,12
Total,1679
