Class Stereotype,Stereotype Count
entity,78
minimal-entity,1
data-provider,69
commander,117
boundary,239
factory,38
controller,32
pure-controller,122
large-class,0
lazy-class,6
degenerate,261
data-class,33
small-class,269
empty,319
unclassified,106
Total,1690
