Unique Method Stereotype,Method Count
get wrapper,2
factory collaborator incidental,5
get factory collaborator,1
void-accessor command collaborator,3
predicate non-void-command,14
get set collaborator,4
non-void-command factory collaborator,14
property factory controller,7
get collaborator,145
property set collaborator,3
stateless,11
controller stateless,809
property controller,13
property non-void-command collaborator,649
set collaborator,32
void-accessor wrapper,1
wrapper stateless,315
set,112
constructor,537
command collaborator,911
get set,1
wrapper,86
factory collaborator stateless,155
command,742
unclassified,5
empty,18
property non-void-command factory collaborator,64
property non-void-command,88
property,10
get non-void-command collaborator,15
property wrapper,111
incidental,30
controller,89
copy-constructor,18
predicate non-void-command collaborator,50
factory controller stateless,26
factory wrapper stateless,18
get property non-void-command collaborator,1
get,157
collaborator incidental,86
property factory collaborator,50
Total,5408
