Unique Class Stereotype,Class Count
degenerate small-class,3
lazy-class degenerate,1
entity commander boundary,1
boundary degenerate small-class,1
entity boundary,2
pure-controller degenerate small-class,7
commander boundary data-class small-class,1
empty,92
unclassified,4
small-class,5
commander boundary small-class,5
data-provider boundary small-class,1
commander,3
commander boundary lazy-class small-class,1
boundary,4
entity boundary data-class small-class,1
commander lazy-class small-class,1
pure-controller small-class,2
boundary small-class,3
data-provider boundary data-class small-class,2
Total,140
