Unique Method Stereotype,Method Count
property set,1
set collaborator,139
property controller,50
property non-void-command collaborator,759
get collaborator,239
get property non-void-command collaborator,15
collaborator incidental,119
get,469
copy-constructor,44
incidental,53
property non-void-command,325
property non-void-command factory collaborator,237
predicate set,1
predicate controller,8
property factory collaborator,11
factory wrapper stateless,5
empty,150
get command,1
wrapper stateless,152
non-void-command factory collaborator,82
controller stateless,300
set,366
constructor,600
factory controller,14
get property controller,4
factory collaborator stateless,22
predicate non-void-command collaborator,96
wrapper,107
void-accessor wrapper,1
predicate non-void-command,161
property factory,20
command collaborator,1391
property,15
void-accessor command collaborator,12
get set collaborator,18
get property,2
property collaborator,1
stateless,7
property set collaborator,3
property wrapper,25
get non-void-command collaborator,9
predicate,85
controller,91
factory collaborator,3
get property non-void-command factory collaborator,3
get set,81
non-void-command factory,1
collaborator stateless,10
predicate wrapper,12
get property collaborator,1
get property non-void-command,4
property factory controller,4
get set factory collaborator,3
factory wrapper,2
get predicate non-void-command collaborator,1
get non-void-command,11
factory controller stateless,32
void-accessor command,12
factory collaborator incidental,3
command,785
property factory wrapper,1
Total,7179
