Method Stereotype,Stereotype Count
get,238
predicate,210
property,627
void-accessor,134
set,134
command,253
non-void-command,368
collaborator,894
controller,94
wrapper,296
constructor,208
copy-constructor,29
destructor,105
factory,8
incidental,75
stateless,294
empty,8
unclassified,7
Total,3982
