Unique Class Stereotype,Class Count
commander small-class,1
degenerate small-class,1
entity boundary degenerate,1
entity boundary,2
boundary degenerate small-class,8
pure-controller degenerate small-class,12
small-class,2
entity boundary small-class,18
unclassified,2
empty,74
commander boundary small-class,6
data-provider boundary small-class,1
commander,4
pure-controller degenerate,5
boundary,1
boundary small-class,1
controller small-class,2
degenerate,3
entity small-class,2
boundary degenerate,2
Total,148
