Method Stereotype,Stereotype Count
get,202
predicate,368
property,231
void-accessor,52
set,91
command,194
non-void-command,250
collaborator,832
controller,18
wrapper,336
constructor,166
copy-constructor,35
destructor,55
factory,0
incidental,13
stateless,194
empty,9
unclassified,3
Total,3049
