Unique Class Stereotype,Class Count
entity minimal-entity boundary,1
entity factory controller small-class,1
pure-controller degenerate,1
factory degenerate small-class,4
boundary data-class small-class,2
entity boundary,10
data-class small-class,3
data-provider,19
data-provider data-class small-class,4
commander boundary small-class,5
data-provider boundary small-class,24
boundary degenerate small-class,17
pure-controller degenerate small-class,1
entity commander boundary,10
data-provider small-class,6
commander boundary,10
boundary degenerate,7
controller,3
commander lazy-class small-class,1
data-provider boundary,23
data-provider boundary data-class small-class,6
controller small-class,5
unclassified,69
commander,13
empty,149
entity boundary degenerate,3
commander boundary data-class small-class,4
commander small-class,24
data-provider degenerate,1
minimal-entity commander boundary,2
entity boundary small-class,5
small-class,17
degenerate small-class,1
entity data-provider boundary,5
degenerate,3
boundary,21
pure-controller small-class,1
boundary small-class,6
commander data-class small-class,7
Total,494
