Unique Class Stereotype,Class Count
data-provider,1
boundary lazy-class degenerate,1
commander small-class,1
data-provider degenerate,1
factory controller lazy-class degenerate,1
data-class,1
pure-controller degenerate small-class,3
small-class,4
boundary,5
data-provider boundary small-class,9
commander,4
boundary small-class,1
data-provider boundary,6
unclassified,7
empty,11
degenerate small-class,1
boundary degenerate small-class,1
entity commander boundary,2
data-provider small-class,2
lazy-class degenerate,2
degenerate,4
Total,68
