Unique Method Stereotype,Method Count
property set collaborator,3
get set,2
predicate,14
empty,1
factory controller stateless,7
predicate set collaborator,1
void-accessor set,1
unclassified,4
predicate non-void-command,7
wrapper stateless,23
command collaborator,37
predicate wrapper,3
get non-void-command collaborator,4
property wrapper,5
set collaborator,5
property non-void-command collaborator,14
property controller,9
controller stateless,40
predicate controller,2
command,35
constructor,74
set,16
predicate collaborator,15
destructor,13
incidental,14
controller,12
predicate non-void-command collaborator,7
copy-constructor,7
property collaborator,16
property non-void-command,7
void-accessor set collaborator,2
void-accessor controller,6
void-accessor command,5
get collaborator,31
collaborator incidental,3
get,9
void-accessor command collaborator,27
void-accessor collaborator,16
void-accessor,11
collaborator,19
property,23
Total,550
