Method Stereotype,Stereotype Count
get,2978
predicate,1350
property,6207
void-accessor,90
set,1656
command,6847
non-void-command,3806
collaborator,5810
controller,753
wrapper,8325
constructor,3394
copy-constructor,241
destructor,0
factory,827
incidental,618
stateless,2000
empty,419
unclassified,45
Total,45366
