Unique Class Stereotype,Class Count
commander boundary degenerate,1
data-provider boundary,1
data-provider boundary data-class small-class,1
data-provider boundary data-class,1
entity commander boundary,3
pure-controller degenerate small-class,27
controller degenerate,8
pure-controller degenerate,11
lazy-class,1
boundary degenerate small-class,8
factory pure-controller degenerate small-class,1
controller,4
commander boundary,16
boundary degenerate,5
data-class small-class,1
entity boundary,6
lazy-class small-class,1
factory controller small-class,1
entity boundary data-class,1
data-provider boundary small-class,4
controller small-class,1
unclassified,9
small-class,11
entity boundary small-class,4
commander boundary small-class,19
commander small-class,6
pure-controller,1
boundary,11
degenerate,18
pure-controller small-class,3
boundary small-class,3
degenerate small-class,3
entity data-provider boundary,2
commander,5
empty,133
entity small-class,1
data-provider data-class small-class,1
data-provider small-class,1
Total,334
