Unique Method Stereotype,Method Count
factory collaborator stateless,1
factory wrapper,2
property factory controller,1
property non-void-command factory,1
get set collaborator,1
wrapper,5
collaborator stateless,31
stateless,21
predicate wrapper,2
controller stateless,43
set,84
constructor,201
wrapper stateless,47
predicate non-void-command,17
command collaborator,113
get non-void-command collaborator,2
property wrapper,33
get property non-void-command collaborator,1
collaborator incidental,5
get,213
unclassified,1
non-void-command factory,2
command,124
factory controller,2
empty,11
get collaborator,56
property controller,13
property non-void-command collaborator,134
set collaborator,34
factory controller stateless,6
factory wrapper stateless,5
get non-void-command,6
property non-void-command,80
property non-void-command factory collaborator,14
copy-constructor,2
predicate non-void-command collaborator,16
incidental,9
controller,5
property factory collaborator,1
non-void-command factory collaborator,10
predicate controller,1
predicate,6
property,4
Total,1366
