Unique Class Stereotype,Class Count
factory controller degenerate,1
boundary degenerate,1
data-class,6
entity boundary lazy-class,1
data-provider data-class,7
commander boundary small-class,4
small-class,7
entity boundary small-class,6
commander,9
empty,123
pure-controller degenerate small-class,5
entity commander boundary,5
boundary degenerate small-class,3
unclassified,24
controller small-class,2
data-provider boundary data-class small-class,1
data-provider boundary,1
data-provider small-class,1
commander boundary,8
data-provider,31
data-provider data-class small-class,2
entity boundary,7
degenerate small-class,2
boundary data-class,3
minimal-entity boundary,1
commander small-class,5
entity boundary degenerate,1
boundary data-class small-class,2
controller degenerate,1
boundary lazy-class degenerate,2
boundary,14
pure-controller small-class,2
degenerate,1
Total,289
