Unique Method Stereotype,Method Count
get wrapper,1
get property non-void-command,6
predicate,10
non-void-command factory,3
unclassified,2
property factory collaborator,9
non-void-command collaborator,3
predicate wrapper,10
get non-void-command factory collaborator,4
collaborator stateless,24
property wrapper,54
get non-void-command collaborator,18
get property wrapper,1
get non-void-command,9
property factory controller,2
factory wrapper stateless,11
get collaborator,197
factory controller stateless,77
get set collaborator,19
wrapper stateless,262
set,532
constructor,404
command collaborator,953
property collaborator,3
property non-void-command,520
property non-void-command factory collaborator,59
command,794
factory collaborator stateless,36
wrapper,10
get set,11
predicate non-void-command,41
controller stateless,212
set collaborator,139
property non-void-command collaborator,772
property controller,14
property,39
property set collaborator,2
stateless,15
get property non-void-command collaborator,2
get,600
collaborator incidental,21
factory wrapper,4
controller,67
incidental,41
copy-constructor,8
predicate non-void-command collaborator,75
empty,51
factory controller,7
non-void-command factory collaborator,106
predicate controller,13
Total,6273
