Unique Class Stereotype,Class Count
degenerate,2
commander small-class,2
small-class,2
entity small-class,1
data-provider boundary data-class small-class,1
controller small-class,1
commander,1
data-provider boundary small-class,1
data-provider data-class small-class,1
data-provider,2
factory pure-controller degenerate small-class,1
degenerate small-class,16
entity boundary,8
entity factory controller,2
boundary,7
commander degenerate,1
commander boundary small-class,2
data-class,11
pure-controller degenerate small-class,3
boundary degenerate,2
commander boundary,3
controller,1
commander lazy-class small-class,1
entity commander boundary,1
factory controller,1
boundary degenerate small-class,11
empty,31
unclassified,10
Total,126
