Unique Method Stereotype,Method Count
get property set collaborator,1
get set,1
get property factory wrapper,1
get command collaborator,3
get property set factory collaborator,1
get property wrapper,2
factory controller,10
get property non-void-command collaborator,7
get non-void-command collaborator,9
factory wrapper stateless,32
property non-void-command,48
property non-void-command factory collaborator,99
predicate set,8
void-accessor command collaborator,335
property controller,30
property non-void-command collaborator,293
wrapper stateless,684
set,653
constructor,2346
empty,176
get controller,1
get collaborator,8
property set collaborator,38
property collaborator,25
stateless,12
factory collaborator stateless,35
get wrapper,5
void-accessor wrapper,13
predicate non-void-command,60
controller stateless,477
non-void-command factory collaborator,61
predicate controller,14
predicate wrapper,41
get non-void-command,1
non-void-command collaborator,129
property factory collaborator,27
property wrapper,87
wrapper,239
predicate non-void-command collaborator,385
factory collaborator,6
controller,137
incidental,185
void-accessor collaborator,7
copy-constructor,26
property set factory collaborator,23
unclassified,20
get property non-void-command factory collaborator,4
command collaborator,2091
property,16
set collaborator,517
non-void-command,48
get,3
collaborator incidental,118
void-accessor,1
predicate collaborator,9
predicate set collaborator,48
get non-void-command factory collaborator,3
factory controller stateless,52
void-accessor command,15
collaborator,27
set factory collaborator,22
property non-void-command factory,2
collaborator stateless,18
get set collaborator,6
predicate,8
get property collaborator,11
void-accessor set collaborator,34
factory collaborator incidental,22
property set,4
get set factory collaborator,2
property factory controller,17
void-accessor controller,13
command,2817
property factory wrapper,22
destructor,3
Total,12754
