Unique Class Stereotype,Class Count
data-provider small-class,1
degenerate small-class,1
minimal-entity boundary,1
boundary,5
factory degenerate small-class,5
commander boundary small-class,15
commander degenerate,3
entity,1
unclassified,14
empty,109
data-provider boundary small-class,1
commander,57
commander small-class,11
entity boundary,6
pure-controller degenerate small-class,5
data-class,5
boundary degenerate small-class,2
entity commander boundary,7
controller small-class,1
data-provider boundary data-class small-class,2
small-class,5
entity boundary small-class,6
commander boundary data-class small-class,1
boundary data-class small-class,1
commander boundary,15
boundary degenerate,2
factory pure-controller degenerate small-class,3
entity factory controller small-class,3
Total,288
